Date d’entrée;N° Inventaire;Cote;Auteurs;Intitulé de l’ouvrage;Edition;Catégorie
12/10/2018;1;500BAL;STEPHANE BALAC et  FREDERIC S.;Algèbre et analyse;PPUR, Lausanne, 2014 ;Mathématiques, Algèbre, Analyse
12/10/2018;2;000SER;J.V. SERVOLLE;Dictionnaire commercial et financier : français –anglais, Anglais-français;SL;Langues, Economie, Français, Anglais
12/10/2018;3;100PHI;M.D. PHILIPPE;L’être : Recherche d’une philosophie première;P.TEQUIS, Paris 1972;Développement personnel, Philosophie
12/10/2018;4;200FRA;FRANCOIS;Lettre encyclopédique;SL;Langues, Encyclopédie
12/10/2018;5;300BAB;IBRAHIMA BABA KAKE;Conflit belgo-zaïrois, fondements historiques, politiques, économiques et culturels.;Présences Africaines;Histoire
13/10/2018;6;800ADL;ALEXENDRE ADLER;Le nouveau rapport de la CIA , comment sera le monde en 2025 ?;ROBERT LAFFONT, Paris 2009;Histoire
13/10/2018;7;500BAL;STEPHANE BALAC et  FREDERIC S.;Algèbre et analyse;PPUR, Lausanne, 2014 ;Mathématiques, Algèbre, Analyse
13/10/2018;8;200FRA;FRANCOIS;Lettre encyclopédique;SL;Langues, Encyclopédie
13/10/2018;9;900DUM;EMMANUEL DUNGA;MOBUTU et l’argent du ZAIRE, révélation d’un diplomate ex agent des services secrets.;L’HARMATTAN  Paris 1992;Histoire
14/10/2018;10;500BAL;STEPHANE BALAC et  FREDERIC S.;Algèbre et analyse;PPUR, Lausanne, 2014 ;Mathématiques, Algèbre, Analyse
14/10/2018;11;500BAL EX;STEPHANE BALAC et  FREDERIC ;Exercices d’algèbre et d’analyse;PPUR, Lausanne, 2015 ;Mathématiques, Algèbre, Analyse
14/10/2018;12;500BAL  EX;STEPHANE BALAC et  FREDERIC S.;Exercices d’algèbre et d’analyse;PPUR, Lausanne, 2015 ;Mathématiques, Algèbre, Analyse
14/10/2018;13;500BAL EX;STEPHANE BALAC et  FREDERIC S.;Exercices d’algèbre et d’analyse;PPUR, Lausanne, 2015 ;Mathématiques, Algèbre, Analyse
14/10/2018;14;500BAL ;STEPHANE BALAC et LAURENT C.;Analyse et algèbre. Cours de mathématique de 2e année avec exercices corrigés et illustrations avec Maple;PPUR, Lausanne, 2008;Mathématiques, Algèbre, Analyse
14/10/2018;15;500BAL;STEPHANE BALAC et LAURENT C.;Analyse et algèbre. Cours de mathématique de 2e année avec exercices corrigés et illustrations avec Maple;PPUR, Lausanne, 2008;Mathématiques, Algèbre, Analyse
14/10/2018;16;500BAL;STEPHANE BALAC et LAURENT C.;Analyse et algèbre. Cours de mathématique de 2e année avec exercices corrigés et illustrations avec Maple;PPUR, Lausanne, 2008;Mathématiques, Algèbre, Analyse
16/10/2018;17;500DOU;JACQUES DOUCHET BRUNO ZWAHLEN;Calcul différentiel et intégral : Fonctions réelles d’une ou de plusieurs variables réelles.;PPUR, Lausanne, 2015 ;Mathématiques, Analyse
16/10/2018;18;500DOU;JACQUES DOUCHET BRUNO ZWAHLEN;Calcul différentiel et intégral : Fonctions réelles d’une ou de plusieurs variables réelles.;PPUR, Lausanne, 2015 ;Mathématiques, Analyse
16/10/2018;19;500DOU;JACQUES DOUCHET BRUNO ZWAHLEN;Calcul différentiel et intégral : Fonctions réelles d’une ou de plusieurs variables réelles.;PPUR, Lausanne, 2015 ;Mathématiques, Analyse
16/10/2018;20;500DOU EX;JACQUES DOUCHET;Analyse, recueil d’exercices et aide-mémoire vol1;P.P.UR 2015;Mathématiques, Analyse
16/10/2018;21;500DOU EX;JACQUES DOUCHET;Analyse, recueil d’exercices et aide-mémoire vol1;P.P.UR 2015;Mathématiques, Analyse
16/10/2018;22;500DOU EX;JACQUES DOUCHET;Analyse, recueil d’exercices et aide-mémoire vol1;P.P.UR 2015;Mathématiques, Analyse
17/10/2018;23;500DOU EX;JACQUES DOUCHET;Analyse, recueil d’exercices et aide-mémoire vol2;P.P.UR 2016;Mathématiques, Analyse
17/10/2018;24;500DOU EX;JACQUES DOUCHET;Analyse, recueil d’exercices et aide-mémoire vol2;P.P.UR 2016;Mathématiques, Analyse
17/10/2018;25;500DOU EX;JACQUES DOUCHET;Analyse, recueil d’exercices et aide-mémoire vol2;P.P.UR 2016;Mathématiques, Analyse
